{'loss': 4.3379, 'grad_norm': 6.777785778045654, 'learning_rate': 7.651109410864576e-06, 'epoch': 0.04}
{'loss': 4.2683, 'grad_norm': 6.803543567657471, 'learning_rate': 1.5302218821729152e-05, 'epoch': 0.08}
{'loss': 4.2569, 'grad_norm': 10.420146942138672, 'learning_rate': 1.967182451963952e-05, 'epoch': 0.11}
{'loss': 4.2263, 'grad_norm': 5.09201192855835, 'learning_rate': 1.8821628974664176e-05, 'epoch': 0.15}
{'loss': 4.2138, 'grad_norm': 12.413467407226562, 'learning_rate': 1.797143342968883e-05, 'epoch': 0.19}
{'loss': 4.2013, 'grad_norm': 11.47028636932373, 'learning_rate': 1.7121237884713485e-05, 'epoch': 0.23}
{'loss': 4.1825, 'grad_norm': 11.258110046386719, 'learning_rate': 1.627104233973814e-05, 'epoch': 0.27}
{'loss': 4.1745, 'grad_norm': 14.48540210723877, 'learning_rate': 1.5420846794762797e-05, 'epoch': 0.31}
{'loss': 4.1644, 'grad_norm': 11.53470230102539, 'learning_rate': 1.4570651249787453e-05, 'epoch': 0.34}
{'loss': 4.1727, 'grad_norm': 9.865340232849121, 'learning_rate': 1.3720455704812108e-05, 'epoch': 0.38}
{'loss': 4.1708, 'grad_norm': 12.511384963989258, 'learning_rate': 1.2870260159836762e-05, 'epoch': 0.42}
{'loss': 4.1354, 'grad_norm': 10.948650360107422, 'learning_rate': 1.202006461486142e-05, 'epoch': 0.46}
{'loss': 4.1013, 'grad_norm': 13.589005470275879, 'learning_rate': 1.1169869069886074e-05, 'epoch': 0.5}
{'loss': 4.1349, 'grad_norm': 14.274313926696777, 'learning_rate': 1.0319673524910729e-05, 'epoch': 0.54}
{'loss': 4.1205, 'grad_norm': 13.066914558410645, 'learning_rate': 9.469477979935387e-06, 'epoch': 0.57}
{'loss': 4.106, 'grad_norm': 11.205357551574707, 'learning_rate': 8.619282434960041e-06, 'epoch': 0.61}
{'loss': 4.1017, 'grad_norm': 16.479488372802734, 'learning_rate': 7.769086889984697e-06, 'epoch': 0.65}
{'loss': 4.1094, 'grad_norm': 11.837672233581543, 'learning_rate': 6.918891345009353e-06, 'epoch': 0.69}
{'loss': 4.0771, 'grad_norm': 15.964380264282227, 'learning_rate': 6.0686958000340076e-06, 'epoch': 0.73}
{'loss': 4.1024, 'grad_norm': 14.256669998168945, 'learning_rate': 5.218500255058664e-06, 'epoch': 0.77}
{'loss': 4.0939, 'grad_norm': 11.93359661102295, 'learning_rate': 4.368304710083319e-06, 'epoch': 0.8}
{'loss': 4.1043, 'grad_norm': 12.48929214477539, 'learning_rate': 3.518109165107975e-06, 'epoch': 0.84}
{'loss': 4.0965, 'grad_norm': 14.24864387512207, 'learning_rate': 2.6679136201326307e-06, 'epoch': 0.88}
{'loss': 4.0892, 'grad_norm': 14.74805736541748, 'learning_rate': 1.8177180751572862e-06, 'epoch': 0.92}
{'loss': 4.0768, 'grad_norm': 15.30440902709961, 'learning_rate': 9.675225301819419e-07, 'epoch': 0.96}
{'loss': 4.0739, 'grad_norm': 13.131486892700195, 'learning_rate': 1.1732698520659752e-07, 'epoch': 0.99}
